Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
AUDI TTS Coupe,2,4,AMS-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAV02.0AUA,small car,6,23,27,25,5,No,358
AUDI TTS Coupe,2,4,AMS-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAV02.0AUA,small car,6,23,27,25,5,No,358
BENTLEY Bentayga,6,12,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,HVGAT06.0EAR,standard SUV,6,12,19,15,2,No,596
BENTLEY Bentayga,6,12,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAT06.0EAR,standard SUV,6,12,19,15,2,No,596
BENTLEY Continental GT,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAV04.0NUA,small car,6,15,25,18,3,No,494
BENTLEY Continental GT,4,8,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAV04.0NUA,small car,6,15,25,18,3,No,494
BENTLEY Continental GT,6,12,SemiAuto-8,4WD,Gasoline,CA,L2,California LEV-II LEV,HVGAV06.0VLN,small car,5,12,21,15,2,No,580
BENTLEY Continental GT,6,12,SemiAuto-8,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,HVGAV06.0VLN,small car,5,12,21,15,2,No,580
BENTLEY Continental GT Convertible,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAV04.0NUA,small car,6,13,23,16,2,No,542
BENTLEY Continental GT Convertible,4,8,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAV04.0NUA,small car,6,13,23,16,2,No,542
BENTLEY Continental GT Convertible,6,12,SemiAuto-8,4WD,Gasoline,CA,L2,California LEV-II LEV,HVGAV06.0VLN,small car,5,12,20,15,2,No,604
BENTLEY Continental GT Convertible,6,12,SemiAuto-8,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,HVGAV06.0VLN,small car,5,12,20,15,2,No,604
BENTLEY Continental Supersports,6,12,SemiAuto-8,4WD,Gasoline,CA,L2,California LEV-II LEV,HVGAV06.0VLN,small car,5,11,20,14,1,No,644
BENTLEY Continental Supersports,6,12,SemiAuto-8,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,HVGAV06.0VLN,small car,5,11,20,14,1,No,644
BENTLEY Continental Supersports Convt,6,12,SemiAuto-8,4WD,Gasoline,CA,L2,California LEV-II LEV,HVGAV06.0VLN,small car,5,11,19,13,1,No,667
BENTLEY Continental Supersports Convt,6,12,SemiAuto-8,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,HVGAV06.0VLN,small car,5,11,19,13,1,No,667
BENTLEY Flying Spur,4,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,HVGAV04.0NUA,midsize car,6,14,24,17,3,No,517
BENTLEY Flying Spur,4,8,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,HVGAV04.0NUA,midsize car,6,14,24,17,3,No,517
BENTLEY Flying Spur,6,12,SemiAuto-8,4WD,Gasoline,CA,L2,California LEV-II LEV,HVGAV06.0VLN,midsize car,5,12,20,15,2,No,604
BENTLEY Flying Spur,6,12,SemiAuto-8,4WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,HVGAV06.0VLN,midsize car,5,12,20,15,2,No,604
BENTLEY Mulsanne,6.8,8,SemiAuto-8,2WD,Gasoline,CA,L2,California LEV-II LEV,HVGAV06.8ELP,midsize car,5,11,18,14,1,No,652
BENTLEY Mulsanne,6.8,8,SemiAuto-8,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,HVGAV06.8ELP,midsize car,5,11,18,14,1,No,652
BENTLEY Mulsanne EWB,6.8,8,SemiAuto-8,2WD,Gasoline,CA,L2,California LEV-II LEV,HVGAV06.8ELP,midsize car,5,11,17,13,1,No,692
BENTLEY Mulsanne EWB,6.8,8,SemiAuto-8,2WD,Gasoline,FA,T3B160,Federal Tier 3 Bin 160,HVGAV06.8ELP,midsize car,5,11,17,13,1,No,692
BMW 230i Convertible,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30/PZEV,California LEV-III SULEV30/PZEV,HBMXV02.0B4X,small car,9,23,34,27,6,No,324
BMW 230i Convertible,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,HBMXV02.0B4X,small car,8,23,34,27,6,No,324
BMW 230i Coupe,2,4,Man-6,2WD,Gasoline,CA,L3SULEV30/PZEV,California LEV-III SULEV30/PZEV,HBMXV02.0B4X,small car,9,21,32,25,5,No,360
BMW 230i Coupe,2,4,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,HBMXV02.0B4X,small car,8,21,32,25,5,No,360
BMW 230i Coupe,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30/PZEV,California LEV-III SULEV30/PZEV,HBMXV02.0B4X,small car,9,24,35,28,6,No,318
